algorithm,bitstring,count,observed_probability,ideal_probability,probability_error,score,qubo_energy,feasible,optimal
gm_qaoa,10011001,29,0.0283203125,0.5036664095779589,-0.4753460970779589,3.25,-3.25,True,True
gm_qaoa,10010110,24,0.0234375,0.0543152645773269,-0.0308777645773269,2.2,-2.2,True,False
gm_qaoa,10100101,24,0.0234375,0.1957165322138184,-0.1722790322138184,2.6,-2.6,True,False
gm_qaoa,1011010,21,0.0205078125,0.0422619324626533,-0.0217541199626533,2.15,-2.15,True,False
gm_qaoa,1000110,16,0.015625,0.0,0.015625,0.95,13.45,False,False
gm_qaoa,1100110,14,0.013671875,0.0296363519036632,-0.0159644769036632,1.5,-1.5,True,False
gm_qaoa,100101,14,0.013671875,0.0,0.013671875,1.8,12.6,False,False
gm_qaoa,1010010,14,0.013671875,0.0,0.013671875,1.25,13.15,False,False
gm_qaoa,10010001,13,0.0126953125,0.0,0.0126953125,2.35,12.05,False,False
gm_qaoa,10110110,13,0.0126953125,0.0,0.0126953125,2.75,11.65,False,False
gm_qaoa,10011010,13,0.0126953125,0.0,0.0126953125,2.7,11.7,False,False
gm_qaoa,10000110,12,0.01171875,0.0,0.01171875,1.5,12.9,False,False
gm_qaoa,10101010,12,0.01171875,0.0,0.01171875,2.55,55.05,False,False
gm_qaoa,11001,12,0.01171875,0.0,0.01171875,2.45,11.95,False,False
gm_qaoa,10001010,11,0.0107421875,0.0,0.0107421875,2.0,41.2,False,False
gm_qaoa,101010,10,0.009765625,0.0,0.009765625,1.7500000000000002,41.45,False,False
gm_qaoa,1101001,10,0.009765625,0.1744035092645793,-0.1646378842645793,2.5500000000000003,-2.5500000000000003,True,False
gm_qaoa,1101010,9,0.0087890625,0.0,0.0087890625,2.0,12.4,False,False
gm_qaoa,11111010,9,0.0087890625,0.0,0.0087890625,3.5,39.7,False,False
gm_qaoa,11010110,9,0.0087890625,0.0,0.0087890625,2.45,11.95,False,False
