algorithm,bitstring,count,observed_probability,ideal_probability,probability_error,score,qubo_energy,feasible,optimal
standard_qaoa,10101101,23,0.0224609375,0.0190282028349944,0.0034327346650055,3.5,10.9,False,False
standard_qaoa,10100111,18,0.017578125,0.01473071606203,0.0028474089379699,2.9000000000000004,11.5,False,False
standard_qaoa,10110101,17,0.0166015625,0.0152522736399318,0.0013492888600681,3.3000000000000003,11.1,False,False
standard_qaoa,10011001,16,0.015625,0.0233796975116928,-0.0077546975116928,3.25,-3.25,True,True
standard_qaoa,10111001,16,0.015625,0.0199594266679238,-0.0043344266679238,3.8,10.6,False,False
standard_qaoa,1101001,15,0.0146484375,0.0162404365024375,-0.0015919990024375,2.5500000000000003,-2.5500000000000003,True,False
standard_qaoa,10011110,15,0.0146484375,0.0168614704651605,-0.0022130329651605,3.1,11.3,False,False
standard_qaoa,10100101,15,0.0146484375,0.0164931137059066,-0.0018446762059066,2.6,-2.6,True,False
standard_qaoa,10011101,14,0.013671875,0.0167192872195869,-0.0030474122195869,3.65,10.75,False,False
standard_qaoa,1101110,13,0.0126953125,0.0138967694362812,-0.0012014569362812,2.4000000000000004,12.0,False,False
standard_qaoa,1111110,13,0.0126953125,0.006827376252694,0.0058679362473059,3.1000000000000005,25.700000000000003,False,False
standard_qaoa,1101011,13,0.0126953125,0.0143455975881838,-0.0016502850881838,2.8500000000000005,11.55,False,False
standard_qaoa,10010111,13,0.0126953125,0.0139369029125669,-0.0012415904125669,3.0500000000000003,11.35,False,False
standard_qaoa,10110110,13,0.0126953125,0.0146543561043208,-0.0019590436043208,2.75,11.65,False,False
standard_qaoa,10011011,13,0.0126953125,0.0178830987126279,-0.0051877862126279,3.55,10.85,False,False
standard_qaoa,10011111,13,0.0126953125,0.0085686527231856,0.0041266597768143,3.95,24.85,False,False
standard_qaoa,11011010,13,0.0126953125,0.0147425454872781,-0.0020472329872781,2.95,11.45,False,False
standard_qaoa,1101101,12,0.01171875,0.0135373967814854,-0.0018186467814854,2.95,11.45,False,False
standard_qaoa,1011010,12,0.01171875,0.0131118881731641,-0.0013931381731641,2.15,-2.15,True,False
standard_qaoa,1100111,12,0.01171875,0.0114777114037646,0.0002410385962353,2.35,12.05,False,False
