algorithm,instance_id,bitstring,count,observed_probability,ideal_probability,probability_error,score,qubo_energy,feasible,optimal
gm_qaoa,exact_capacity_4x2,10011001,29,0.02832,0.503666,-0.475346,3.25,-3.25,True,True
gm_qaoa,exact_capacity_4x2,10010110,24,0.023438,0.054315,-0.030878,2.2,-2.2,True,False
gm_qaoa,exact_capacity_4x2,10100101,24,0.023438,0.195717,-0.172279,2.6,-2.6,True,False
gm_qaoa,exact_capacity_4x2,01011010,21,0.020508,0.042262,-0.021754,2.15,-2.15,True,False
gm_qaoa,exact_capacity_4x2,01000110,16,0.015625,0.0,0.015625,0.95,13.45,False,False
gm_qaoa,exact_capacity_4x2,00100101,14,0.013672,0.0,0.013672,1.8,12.6,False,False
gm_qaoa,exact_capacity_4x2,01010010,14,0.013672,0.0,0.013672,1.25,13.15,False,False
gm_qaoa,exact_capacity_4x2,01100110,14,0.013672,0.029636,-0.015964,1.5,-1.5,True,False
gm_qaoa,exact_capacity_4x2,10010001,13,0.012695,0.0,0.012695,2.35,12.05,False,False
gm_qaoa,exact_capacity_4x2,10011010,13,0.012695,0.0,0.012695,2.7,11.7,False,False
gm_qaoa,exact_capacity_4x2,10110110,13,0.012695,0.0,0.012695,2.75,11.65,False,False
gm_qaoa,exact_capacity_4x2,00011001,12,0.011719,0.0,0.011719,2.45,11.95,False,False
gm_qaoa,exact_capacity_4x2,10000110,12,0.011719,0.0,0.011719,1.5,12.9,False,False
gm_qaoa,exact_capacity_4x2,10101010,12,0.011719,0.0,0.011719,2.55,55.05,False,False
gm_qaoa,exact_capacity_4x2,10001010,11,0.010742,0.0,0.010742,2.0,41.2,False,False
standard_qaoa,exact_capacity_4x2,10101101,23,0.022461,0.019028,0.003433,3.5,10.9,False,False
standard_qaoa,exact_capacity_4x2,10100111,18,0.017578,0.014731,0.002847,2.9,11.5,False,False
standard_qaoa,exact_capacity_4x2,10110101,17,0.016602,0.015252,0.001349,3.3,11.1,False,False
standard_qaoa,exact_capacity_4x2,10011001,16,0.015625,0.02338,-0.007755,3.25,-3.25,True,True
standard_qaoa,exact_capacity_4x2,10111001,16,0.015625,0.019959,-0.004334,3.8,10.6,False,False
standard_qaoa,exact_capacity_4x2,01101001,15,0.014648,0.01624,-0.001592,2.55,-2.55,True,False
standard_qaoa,exact_capacity_4x2,10011110,15,0.014648,0.016861,-0.002213,3.1,11.3,False,False
standard_qaoa,exact_capacity_4x2,10100101,15,0.014648,0.016493,-0.001845,2.6,-2.6,True,False
standard_qaoa,exact_capacity_4x2,10011101,14,0.013672,0.016719,-0.003047,3.65,10.75,False,False
standard_qaoa,exact_capacity_4x2,10010111,13,0.012695,0.013937,-0.001242,3.05,11.35,False,False
standard_qaoa,exact_capacity_4x2,01101011,13,0.012695,0.014346,-0.00165,2.85,11.55,False,False
standard_qaoa,exact_capacity_4x2,01111110,13,0.012695,0.006827,0.005868,3.1,25.7,False,False
standard_qaoa,exact_capacity_4x2,01101110,13,0.012695,0.013897,-0.001201,2.4,12.0,False,False
standard_qaoa,exact_capacity_4x2,11011010,13,0.012695,0.014743,-0.002047,2.95,11.45,False,False
standard_qaoa,exact_capacity_4x2,10011111,13,0.012695,0.008569,0.004127,3.95,24.85,False,False
